row_id,내용,상세내용,주장/검증매체
83,상속주택 팔 땐 피상속인상속인 보유기간 통틀어 계산해 세율 적용,"['세액', '주택', '납부', '공제', '보유', '신고', '결정', '부분', '기간', '취득', '양도소득세', '기한', '세율', '적용', '과세', '개시', '상속세', '경우', '계산', '일반', '금액', '부터', '매도', '상속']",한국경제
84,빌라왕 사망후 9개월상속문제 정리안되면 특별법도 무용지물,"['해결', '주택', '전세', '법원', '문제', '선임', '보증', '피해', '통보', '대상', '재산', '가입자', '업무', '반환', '세종', '포기', '차원', '기자', '서울', '특별법', '피해자', '진행', '청구', '경매', '사망', '구제', '조치', '절차', '보험', '보증금', '임대', '입자', '연합뉴스', '경우', '사기', '순위', '계약', '상황', '범위', '상속']",연합뉴스
85,WHO도 제로 인기 못 멈췄다제로칼로리무설탕 제품 인기 여전,"['제로', '비교', '결과', '규모', '구매', '분석', '물질', '전체', '회복', '분류', '기간', '감소', '음료', '고객', '시장', '버스', '상반기', '가량', '수준', '대비', '경우', '정도', '제품', '수요', '식품', '발암', '증가']",강원도민일보
86,검찰 공정위 조사 방해 혐의 화물연대 공정거래법 위반으로 기소,"['대가', '기사', '공정위', '조사', '노동자', '방해', '판단', '형태', '사업자', '적용', '거래', '노동', '단체', '검찰', '혐의', '화물', '현실', '기소', '연대', '노조']",경향신문
87,하청사 화물 운전기사 제각각 유가연동 기준에 한숨,"['개선', '기사', '화물차', '거리', '하청', '업체', '유가', '노동자', '목소리', '포스코', '지급', '운송', '기준', '고용', '하루', '적용', '올해', '내용', '수준', '입찰', '지난해', '전남', '입장', '보조금', '회수', '화물', '수익', '운행', '특수']",노컷뉴스
88,부산항만공사 육상화물 운송거부 대비 토론훈련 실시,"['육상', '사태', '운송', '훈련', '화물', '발생', '집단', '항만', '대응', '기관', '부산', '지난해', '거부']",아시아경제
89,홍콩 민주투사 네이선 로  망명 승인받아  긴장고조,"['주택', '신청', '홍콩', '시행', '주민', '시민', '영국', '이민', '정부', '로이터']",한국일보
90,사유재산권 보호 투사 된 이언주 무소속 의원,"['설명', '주주', '한국', '의원', '소액', '정부', '자유', '정책']",한국경제
91,불법공매도 투사 김병욱 잘못된 정보 재생산 발끈 왜,"['차단', '시스템', '기자', '개인', '민주당', '국회', '시장', '거래', '방지', '공매도', '사전', '불법', '조항', '뉴스', '제도', '정보', '의원', '실시간', '처벌']",머니투데이
92,대표이사가 된 전대협 투사들,"['세계', '사람', '통일', '정식', '한국', '회사', '체험', '개발', '오마이', '대상', '대표', '민족', '아버지', '세상', '참여', '자신', '휴대폰', '학생회장', '정치', '북한', '문화', '예술', '활동', '하이', '영화', '과거', '기도', '시장', '역사', '카메라', '의장', '근무', '대표이사', '부장', '광주', '마음', '정권', '뉴스', '사업', '시절', '부터', '인근', '미래', '서울대', '생산', '바람', '학생', '생각']",오마이뉴스
93,롯데칠성 빅썸바이오 지분 추가 인수스타트업 빅썸 만들까,"['주주', '건강', '행사', '기능', '보유', '대표', '인정', '성장', '주간', '영업', '음료', '인수', '가능성', '자산', '유통', '바이오', '스타트업', '투자', '식품']",비즈워치
94,연이은 어닝쇼크 굴레매각으로 몸집 줄이는 CJ ENM,"['그룹', '부문', '적자', '회사', '추진', '보유', '기록', '영업', '기준', '음악', '시장', '올해', '매각', '미디어', '자산', '악화', '자회사', '실적', '플랫폼', '사업', '매출', '최근', '핵심']",이코노미스트
95,한화 스타트업 투자 쉽지 않네,"['그룹', '사업', '스타트업', '투자', '니콜라', '개발', '수소', '규모', '설루션', '연구소', '한화']",매일경제
96,스타트업들 헐값에 지분 넘겨 버틴다,"['매각', '스타트업', '투자', '자금', '업계', '금리', '발행', '펀드', '회수', '중이', '유통', '경기', '시장', '위축', '관계자']",헤럴드경제
97,벤츠 최대 판매처 한성자동차 파업후속 여파는,"['그룹', '개선', '투쟁', '인상', '파업', '직원', '서비스', '자동차', '서울', '배당', '센터', '임금', '코리아', '판매', '최대', '경우', '요구', '노조']",뉴시스
98,부산대병원지부 파업 20일만에 극적 타결오늘부터 정상 근무,"['조합원', '서비스', '금지', '정상', '인력', '수렴', '근절', '임단협', '파업', '마련', '고용', '의견', '진료', '측은', '교섭', '총장', '시설', '의료', '보안', '조치', '투쟁', '용역', '미화', '내용', '중재', '불법', '보건', '주차', '전환', '환자', '운영', '인상', '병원', '합의', '부터', '시민', '처방', '노조', '부산']",ZDNet Korea
99,아파트 전기차 충전기 도입 시 입주민 화재 긴급 대피 알림 방법 구비 필수,"['도입', '전기차', '아파트', '충전기', '서비스', '해당', '시스템', '주민', '대응', '화재', '발생', '안전', '보급', '기존', '전후', '긴급']",서울경제
